"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Properties", "Markdown", "YAML", "TypeScript JSX", "Gradle", "Java Properties", "Batch", "Objective-C", "C++", "Objective-C++", "XML", "Kotlin", "Swift", "comment", "blank", "total"
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/LandnigScreenImage.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 1, 91
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/LocationPinIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/LoginPageDownImage.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/LoginScreenImage.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 1, 99
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/TopVectorImage.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/WelcomeScreenBottom.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/callIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/house-1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 1, 130
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/messageicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/assets/images/podcast.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
